ID,icx,icy,mag,mag_std,sky,niter,CHI,SHARP,ra,dec,ifuslot,xfplane,yfplane
2,7.978,18.733,19.585,0.0617,0.633,5.0,0.41,0.593,207.53136910146648,51.306439695673326,032,232.06199999999998,-257.647
1,13.486,1.9,19.602,0.0492,-0.451,7.0,0.27,0.331,207.5262523776462,51.30270186457318,032,237.57,-274.48
1,5.612,37.011,19.093,0.0394,0.387,7.0,0.33,0.426,207.76114323592898,51.43276534685984,095,-70.678,360.28799999999995
2,27.769,39.507,17.991,0.0298,-0.09,7.0,0.51,0.345,207.7524575155367,51.43577222606946,095,-48.521,362.784
3,46.539,46.143,20.131,0.0583,-0.363,7.0,0.27,-0.749,207.74587319421727,51.43947843093836,095,-29.751,369.41999999999996
1,23.951,19.637,20.139,0.0765,0.484,5.0,0.35,0.136,207.70966358747933,51.44100760243836,094,47.382000000000005,343.285
2,10.418,51.069,18.348,0.1149,-0.658,5.0,1.11,1.01,207.72061214127302,51.447625512348125,094,33.849000000000004,374.71700000000004
2,29.057,20.033,19.833,0.0517,0.436,5.0,0.25,-0.178,207.68376413900225,51.47792469866596,103,152.035,443.71200000000005
1,33.993,7.56,17.598,0.0528,0.202,6.0,1.26,1.106,207.67959718001245,51.47525104532476,103,156.971,431.23900000000003
6,45.826,49.48,16.205,0.0581,3.33,6.0,2.71,1.077,207.68189555384657,51.48726548300784,103,168.804,473.159
4,42.662,31.144,19.281,0.0492,-0.774,7.0,0.44,0.765,207.68006138162,51.48222468829325,103,165.64,454.82300000000004
5,5.509,32.916,15.929,0.0297,-1.092,7.0,1.57,0.35,207.69566751163464,51.478719431251825,103,128.487,456.595
3,30.408,27.013,18.993,0.0535,-0.201,8.0,0.57,0.522,207.68440203468498,51.47985918799583,103,153.386,450.692
1,50.88,26.305,19.861,0.0959,-0.055,7.0,0.32,0.55,207.57315709610296,51.32795179581485,043,174.75,-150.16
1,1.049,12.854,19.448,0.0776,-0.108,7.0,0.27,-0.164,207.55024752216428,51.32987267736724,042,225.016,-163.461
2,9.885,29.782,19.139,0.0542,0.132,7.0,0.51,0.911,207.54949158423005,51.335155864232235,042,233.852,-146.53300000000002
3,25.594,38.524,18.775,0.0474,-0.167,7.0,0.56,0.844,207.54452085768526,51.33906666423241,042,249.561,-137.791
6,43.342,45.817,18.401,0.0471,-0.2,7.0,0.71,0.888,207.53846523728302,51.34282150593349,042,267.309,-130.49800000000002
5,36.87,46.419,19.48,0.0445,-0.121,8.0,0.3,0.445,207.54122738686635,51.342289614416615,042,260.837,-129.89600000000002
4,31.15,40.895,20.086,0.0669,-0.465,10.0,0.34,0.197,207.5426401868877,51.340264722927806,042,255.117,-135.42000000000002
2,31.493,50.715,19.77,0.0782,-0.235,5.0,0.31,0.016,207.6092517080338,51.29581375067893,034,55.451,-225.99399999999997
1,48.093,4.003,17.475,0.0386,-1.192,7.0,0.96,0.637,207.59450070463808,51.28558978817873,034,72.051,-272.70599999999996
1,5.663,7.058,19.266,0.0596,-0.372,7.0,0.55,1.009,207.6533247553708,51.27127974854608,035,-70.047,-269.576
1,46.8,6.52,17.48,0.0489,1.278,7.0,1.21,1.067,207.74594884489608,51.36730760054693,076,-129.787,129.635
2,8.877,19.734,19.677,0.0948,-0.128,19.0,0.73,1.773,207.76378499906352,51.36664515401079,076,-167.71,142.849
2,47.734,51.432,18.873,0.2023,0.308,5.0,1.01,1.387,207.50360266819226,51.293362187088235,022,271.87,-325.01099999999997
1,0.936,17.337,20.127,0.121,0.223,7.0,0.23,0.385,207.51703951935733,51.27964876540629,022,225.072,-359.106
2,12.219,26.274,18.925,0.0319,-0.634,7.0,0.3,0.147,207.73967550660504,51.40498815513422,085,-64.634,249.44600000000003
3,50.561,35.155,18.064,0.0537,0.405,7.0,0.75,0.31,207.72543154008392,51.41135823707264,085,-26.291999999999998,258.327
1,9.381,27.325,19.164,0.0601,0.308,7.0,0.57,1.044,207.6998752730988,51.4156794985489,084,32.664,250.656
2,19.043,37.629,19.187,0.0358,-0.364,7.0,0.29,0.207,207.69766293527823,51.41935263788385,084,42.32599999999999,260.96
1,32.864,30.903,19.886,0.0577,-0.292,5.0,0.32,-0.097,207.59126157946915,51.41477284406222,072,256.664,154.203
2,22.296,38.771,19.761,0.0597,-0.037,7.0,0.37,0.921,207.59695095673422,51.415669303400215,072,246.096,162.071
5,50.368,49.036,19.919,0.0908,1.546,5.0,0.36,0.592,207.74132092653974,51.29099188679227,047,-225.784,-127.99499999999999
1,6.365,18.639,19.51,0.0641,-0.1,7.0,0.5,1.138,207.75417174557847,51.2784981045608,047,-269.787,-158.392
2,39.641,19.963,19.791,0.0703,-0.45,7.0,0.48,0.571,207.7407561598025,51.28239113933172,047,-236.511,-157.06799999999998
3,25.929,35.651,20.032,0.0628,-0.501,7.0,0.34,0.226,207.74905621208055,51.28494989644604,047,-250.223,-141.38
4,43.615,36.63,20.331,0.1074,-0.112,7.0,0.52,-0.074,207.74197195537292,51.28708950052176,047,-232.537,-140.40099999999998
1,13.525,0.647,19.894,0.1749,-0.176,5.0,0.34,0.488,207.70727059683034,51.285349237845374,046,-162.80700000000002,-176.2
2,21.423,14.081,16.318,0.0401,0.336,7.0,1.79,0.858,207.70632234598997,51.289637213097336,046,-154.909,-162.766
3,45.818,51.408,19.191,0.2419,1.572,7.0,0.91,1.506,207.70268153606665,51.30181277615641,046,-130.514,-125.439
3,50.562,38.894,20.095,0.0916,0.599,5.0,0.31,0.315,207.70548218469267,51.237198355237226,027,-225.638,-337.806
2,43.25,28.281,17.56,0.0465,0.366,10.0,1.07,0.49,207.70666986436356,51.23369644818239,027,-232.95,-348.419
1,48.327,25.513,19.139,0.0573,0.741,14.0,0.49,0.876,207.7041187196995,51.233527904543415,027,-227.873,-351.187
1,50.097,8.147,19.034,0.0671,-0.16,7.0,0.64,0.475,207.65946626478652,51.239917679486666,026,-126.103,-368.553
